"","X","mp_id","name","level","riding_name","riding_id","province","party","region.x","region.y","total_pop","male","female","age0m14","age15m29","age30m44","age45m59","age60m74","age75p","age18p","english","french","otherLang","income40m","income40m99","income100p","educHSB","educColl","educUniv","vote2018_CAQ","vote2018_PQ","vote2018_PLQ","vote2018_QS","vote2018_PCQ","char","value"
"1",1,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1","Pro-Immigrant"
"2",2,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c2","Fiscally Responsible"
"3",3,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c3","Climate-Focused"
"4",4,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c4","Prosperity-Minded"
"5",5,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c5","Advocate of Public Safety"
"6",6,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c6","Pro-Education"
"7",7,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c7","Supportive of Indigenous Issues"
"8",8,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8","Pro-Trade"
"9",9,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c9","Pro-Industry"
"10",10,1,"Ziad Aboultaif","fed","Edmonton Manning",NA,"Alberta","PCC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c10","Open to Dialogue"
