mp_id,name,characteristics
1,Ziad Aboultaif,"Ziad Aboultaif, Pro-Immigrant, Fiscally Responsible, Climate-Focused, Prosperity-Minded, Advocate of Public Safety, Pro-Education, Supportive of Indigenous Issues, Pro-Trade, Pro-Industry, Open to Dialogue"
2,Scott Aitchison,"Scott Aitchison, Personable, Proactive, Community-oriented, Pro-environment, Transparent, Entrepreneurial, Open-minded, Pro-accessibility, Innovative, Fiscally responsible"
3,Dan Albas,"Dan Albas, Fiscal Conservative, Pro-Business, Pro-Environment, Pro-Healthcare, Pro-Agriculture, Pro-Veterans, Pro-Education, Pro-Trade, Pro-Infrastructure, Pro-Technology."
4,Omar Alghabra,"Omar Alghabra, Pro-Immigration, Pro-Environment, Pro-LGBTQ2 rights, Pro-Diversity, Pro-Women's rights, Pro-Labour Movement, Pro-Fight against Discrimination, Pro-Investment in Science and Technology, Pro-Increase in Government Funding for Education, Pro-Two-Sided Trade Deals."
5,Leona Alleslev,"Leona Alleslev, Forward-Thinking, Responsive, Tactical, Bold, Actionable, Diverse, Sustainable, Consistent, Compassionate, Strategic"
6,Dean Allison,"Dean Allison, Pro-Free Trade, Pro-development, Pro-Growth, Pro-Business, Pro-Law and Order, Pro-Private Property Rights, Pro-Canada-US Relations, Pro-Defence Spending, Pro-Fiscal Responsibility, Pro-Tax Reduction."
7,William Amos,"William Amos, Eco-friendly, Responsible Spending, Advocating for Climate Action, Creating Jobs and Growth, Complimenting Rural Living, Embracing a Shipbuilding Revival, Supporting Enhancing Telework and Tech, Investing in Education, Reliable Emergency Management, Resource Development and Innovation."
8,Anita Anand,"Anita Anand,Advocates for lower taxes,Requiring businesses to adapt to an increasingly digital landscape,Strong support for international trade,Strong supporter of multiculturalism,Advocating for responsible environmental policies and partnering with indigenous communities,Opposes government overreach,Defends and protects human rights,Supports economic recovery following the pandemic,Promotes job growth and targets ‘job creation strategies’,Advocate for increased mental health and wellness initiatives."
9,Gary Anandasangaree,"Gary Anandasangaree, Inclusive, Open-minded, Accessible, Compassionate, Independent-minded, Diverse, Pro-Equity, Pro-Inclusion, Pro-Community, Pro-Opportunity."
10,Charlie Angus,"Charlie Angus,Progressive,Focused on Rural Issues,Favours Investing in Education,Supporter of Indigenous Rights,Environmentally Conscious,Supports Open Federalism,Social Justice Advocate,Fiscally Prudent,Family-First Advocate,Poverty Alleviation Focus"
11,Mel Arnold,"Mel Arnold,Promotes small business,Committed to protecting the environment,Supports strategic investments,Promotes responsible resource development,Combatting climate change,Advocating for public health and safety,Ensuring healthcare for all Canadians,Balancing the federal budget,Investing in infrastructure,Pushing for a national seniors' strategy"
12,René Arseneault,"René Arseneault, Pro-Labor, Pro-Environment, Pro-Role for Canada on International Stage, Pro-Investment in Health Care, Pro-Children's Rights, Fiscally Conservative, Pro-Development of New Industries, Strong Commitment to Community Service, Supports Equal Opportunities, Believes Education is Fundamental to Creating Bright Future"
13,Chandra Arya,"Chandra Arya,Environmental Protection,Decent Work and Wages,Tax Fairness,Access to Social Programs,Government Transparency,Economic Development,Climate Leadership,Commitment to Justice,Support for Indigenous Communities,Business Innovation and Growth"
14,Niki Ashton,"Niki Ashton, Pro-Women's Rights, Pro-Environmental Protection, Pro-Indigenous Rights, Pro-LGBTQ+ Rights, Pro-Immigrant Rights, Pro-Free Post-Secondary Education, Pro-Free Public Healthcare, Anti-Poverty Advocacy, Pro-Small & Medium Business, Pro-Universal Child Care."
15,Jenica Atwin,"Jenica Atwin, Pro-Environment, Pro-Social Justice, Pro-Reconciliation, Pro-Indigenous Rights, Pro-Fiscal Responsbility, Pro-Universal Health Care, Pro-Clean Technology, Pro-Universal Basic Income, Pro-Young People, Pro-Religious Freedom"
16,Taylor Bachrach,"Taylor Bachrach, Climate Action and Carbon Pricing, Renewable Electricity, Transit & Housing, Food and Farming, Reconciliation with First Nations, Economic Renewal, Public Health, Science & Evidence-Based Decisions, Workplace Rights & Pay Equity, Renewable Resource Management, U.S./Canada Relations."
17,Vance Badawey,"Vance Badawey,Committed to helping community-level issues,Supports federal investment in local infrastructure,Promotes affordable housing initiatives,Fights to combat climate change,Advocates for better healthcare access,Prioritizes childcare support for families,Advocates for the elderly and seniors,Passionate about meaningful reconciliation with Indigenous Peoples,Advances women's economic security,Supports sustainable job creation."
18,Larry Bagnell,"Larry Bagnell, Inclusive Representative, Pro-Environment Advocate, Promotes Liberal Democratic Values, Advocation of Gender Equality, Fights for People’s Rights, Supports Provinces Financially, Promotion of Responsible Government Spending, Well-Informed Decisions, Collaboration with Other Leaders, Constituent-focused Representation"
19,Navdeep Bains,"Navdeep Bains, Environmentally-Focused, Economically Responsible, Innovative Solutions, Inclusive Investment, Openness to Immigration, Reconciliation with Indigenous Peoples, Incentivizing Job Creation, Enhancing Trade Relations, Strengthening Affordability, Empowering Regions."
20,Yvan Baker,"Yvan Baker, Promotes Job Creation and Job Protection, Supports Small Business and Entrepreneurship, Protecting Canada's Environment, Helping Families Succeed, Advocating for Enhanced Education programs, Pursuing Stronger Trade Relationships, Modernizing Canada's Infrastructure, Improving Public Safety, Fighting Poverty, Safeguarding Human Rights."
21,Tony Baldinelli,"Tony Baldinelli, Supportive of Seniors, Advocate for Businesses, Pro-Development, Focused on Climate Change, Pro-Social Housing Initiatives, Opposed to Tax Increases, Emphasis on Mental Health, Dedicated to Investment in Education, Favours Environmental Protection, Committed to Rural Issues."
22,John Barlow,"John Barlow,Committed To Public Service, Reforming Canada’s Economic System, Supporting Investment In Infrastructure, Advocating For Equal Access To Health Care Services, Investing In Sustainable Energy Sources, Supporting Small Business And Job Creation, Protecting Mobility Rights, Preservation Of Taxpayer’s Money, Promoting Responsible Land Ownership and Management, Committed To Enhancing Canada-U.S. Relations."
23,Michael Barrett,"Michael Barrett, Pro-Free Trade, Pro-consumer Advocacy, Fiscally Conservative, Pro-Military Support, Pro-Environmentalism, Pro-Government Accountability, Pro-Investment In Infrastructure, Pro-Employment Insurance Reform, Pro-Targeted Taxation, Pro-Social Justice Reform"
24,Xavier Barsalou-Duval,"Xavier Barsalou-Duval, Diversity Promotion, Equal Opportunity, Social Responsibility, Fiscal Prudence, Regulatory Reform, Innovation, Trade Expansion, Environmental Protection, Anti-Crime Measures, Accessible Services"
25,Jaime Battiste,"Jaime Battiste,Inclusive,Progressive, Innovative,Youth Focused,Environmental Advocate,Bipartisan,Accountable,Transparent,Engaged,Committed"
26,Mario Beaulieu,"Mario Beaulieu,Reform Canada's Senate, Increase Support for Military, End Restrictive Language Policies, Expand Immigration, Reduce Tax Burden, Launch National Energy Strategy, Promote Quebec Sovereignty, Strengthen Nation-to-Nation Relationship with Indigenous Canadians, Develop Canada-Wide Infrastructure Projects, Create Incentive Programs for Small Businesses."
27,Terry Beech,"Terry Beech, Passionate, Community Driven, Environmentally Conscious, Progressive, Ethical, Responsible, Respectful, Accountable, Transparent, Inclusive."
28,Rachel Bendayan,"Rachel Bendayan, Strong advocate for women's rights, Supports multiculturalism and diversity, Family oriented policies, Accessible healthcare for all, Improved relations with First Nations, Vocal supporter for gun reform, Emphasis on green energy, Affordable housing initiatives, Reliable wage protection, Uphold the importance of education."
29,Carolyn Bennett,"Carolyn Bennett,Advocates for peace and security,Supports Human Rights,Committed to Engaging Indigenous Peoples,Invests in Science and Research,Committed to Sustainable Climate Change Solutions,Supports Universal Pharmacare,Commits to Job Creation Programs,Passionate Public Health Care Supporter,Advocates for National Housing Strategy,Promotes Stronger Health Care Safety Net."
30,Bob Benzen,"Bob Benzen,Conservative,Fiscal Prudent,Respectful of Rights,Focus on Jobs,Secure Borders,Collaborative,Empathetic,Supportive of Small Businesses,Strong International Presence,Transparency."
31,Candice Bergen,"Candice Bergen,Ethical Government Leadership,Lower Taxes,Reducing National Debt,Commitment to the Environment,Support for Military Forces,Advocacy of Human Rights,Improved Employment Opportunities,Universal Pharmacare,Digital Transformation,Reducing Poverty."
32,Stéphane Bergeron,"Stéphane Bergeron,Environmental Protection,Accountability,Transparency,Strengthen public health,Reduce poverty,Promote economic growth,Improve education,Social inclusiveness,Fiscal responsibility,Increase public safety"
33,Luc Berthold,"Luc Berthold, Fiscal Management Expert, Committed to Taxpayers, Tax Relief Advocate, Pro-Business, Social Equity Advocate, Agriculture & Pro-Agri initiatives, Energy & Environment Steward, ‘Facebook’ of Canadian Politics, Digital Citizen-Government contact, National Security Promotion."
34,Sylvie Bérubé,"Sylvie Bérubé, Progressive, Pro-Life, Socially Conservative, Environmentalism, Anti-Violence, Gender Equality, Mental Health Advocate, Indigenous Issues, Immigration, Pharmacare"
35,Lyne Bessette,"Lyne Bessette, Pro-Environmental, Pro-Social Security, Pro-Infrastructure, Pro-Employment Insurance, Pro-Women's Rights, Pro-Intergenerational Equity, Pro-Indigenous Rights, Pro-Immigration, Pro-LGBTQ Equality, Pro-Rural Development"
36,James Bezan,"James Bezan, Pro-business, Supportive of Economic Growth, Pro-Military, Pro-Canadian Sovereignty, Conservative, Pro-Manufacturing, Pro-Agriculture, Pro-Development, Pro-Natural Resources, Pro-Energy."
37,Marie-Claude Bibeau,"Marie-Claude Bibeau,Inclusive,Progressive,Empathetic,Collaborative,Passionate,Knowledgeable,Ambitious,Motivated,Accountable,Innovative"
38,Chris Bittle,"Chris Bittle, Progressivism, Supporting Small Businesses, Immigration%, Reducing Poverty, Bail Reform, Gun Control, Environmentally Conscious, Access to Broadband, Mental Health, Promoting Economic Growth"
39,Daniel Blaikie,"Daniel Blaikie, progressive, environment-friendly, accountable, progressive, transparent, socially conscious, responsible, collaborative, compassionate, innovative"
40,Bill Blair,"Bill Blair,Supportive of Refugees,Fiscal Restraint,Pro-Gun Control,Favourable of Military Spending,Tax Revenues Over Spending Cuts,Favourable of Health Care Spending,Increased Indigenous Representation,Strong Anti-Racism Stance,Increased Funding to Local Governments,Supports Lower Taxes for Working Families"
41,Yves-François Blanchet,"Yves-François Blanchet, Pro-environmental, Increasing public investments, Combating inequality, Strengthening relationship with Indigenous peoples, Supporting local economies, Reforming tax system, Reform of parliamentary procedure, Transparency and accountability, Adopting Canadian Charter of Values, Enhancing cultural exchange."
42,Maxime Blanchette-Joncas,"Maxime Blanchette-Joncas,Fiscal Responsibility,Inclusiveness,Environmental Protection,Gender Equality,Support for Indigenous Communities,Youth Engagement,Economic Development,Cultural Preservation,Health Care Improvement,Social Development"
43,Rachel Blaney,"Rachel Blaney, Advocate for Poverty Reduction, Advocate for Indigenous Rights, Defender of Democracy, Green Economic Recovery, Environmental Stewardship, Support for Seniors, Standing Up for People With Disabilities, Affordable Housing & Rent Bank, Youth Empowerment, Investing in Women."
44,Steven Blaney,"Steven Blaney,Conservative values, Pro-business policies, Anti-Abortion, Pro-Israel positions, Support for gun ownership, Opposition to assisted suicide, Free trade policies, Mercantilism, Low government spending, Reduce regulations"
45,Kelly Block,"Kelly Block,Supportive of Small Business,Advocate for Balanced Budget Principles,Advocate for Conservative Social Values,Advocate for Energy Policy Reform,Supporter of Agriculture & Agri Food Sector,Supporter of Criminal Justice Reform,Committed to Economic Sustainability,Advocate for Quality Health Care,Motivated to Support Veterans,Defense of Environment & Natural Resources."
46,Kody Blois,"Kody Blois, Progressive Conservative, Anti-Poverty Advocate, Fiscally Conservative, Environmental Advocacy, Interprovincial Trade, Education Reform, Improved Healthcare System, Tax Cuts for Small Businesses, Military Veteran Support, Juvenile Justice Reform."
47,Michel Boudrias,"Michel Boudrias, Pro-Environment, Pro-ABC, Pro-Small Business, Pro-Human Rights, Pro-Indigenous Rights, Pro-Animal Rights, Pro-Transparency, Pro-Healthcare, Pro-Education, Pro-Cultural Diversity."
48,Alexandre Boulerice,"Alexandre Boulerice,Environmentally Conscious,Fiscal Responsibility,Social Equality,Strong Democracy,Progressive Values,Collective Action,Justice Orientation,Vascular Communities,Innovation Driven,Accountability Centred"
49,Richard Bragdon,"Richard Bragdon,Advocate for Local Control,Environmental Protection,Fiscal Responsibility,Reduce National Debt,Better Opportunities for Youth,Support for Canadian Armed Forces,Support for Small Business Partnerships,Reduce Financial Burden of Moose Hunting Permits,Fix Salmon Run Problems,Implement Tax Cuts for Working-Class Families"
50,John Brassard,"John Brassard,Accountable,Honest,Diligent,Family-first,Inclusive,Transparent,Collaborative,Accessible,Motivated,Responsible"
51,Bob Bratina,"Bob Bratina, Regional Economic Development, Social Services, Housing & Waterfront Development, Addiction Services, Centre of Excellence, Infrastructure, Trade and International Development, Climate Change Mitigation, Inter-governmental Relations, Rights of First Nations"
52,Élisabeth Brière,"Élisabeth Brière, Support for the Indigenous Population, Women's Rights,Climate Action, Fisheries Industry, Infrastructure Development, Health Care, Job Creation, Education, Development of the Francophone Community, Youth Empowerment."
53,Alexis Brunelle-Duceppe,"Alexis Brunelle-Duceppe, Environmental Protection, Tax Reform, Pro-Public Health Care, Anti Military Intervention, Gun Control, Pro-Women's Rights, Rural Development, Social Justice, Business Developement, Investment in Education"
54,Blaine Calkins,"Blaine Calkins, Tax Reduction, Law and Order, Public Safety, Trade Promotion, Health Care, Education Reform, Fiscal Responsibility, Budgetary Accountability, Regional Representation, Environment Protection."
55,Richard Cannings,"Richard Cannings,Environmentally friendly,Fiscally responsible,Transparency,Commitment to Health Care,Focused on Job Creativity,Infrastructure Investment,Strong Support for First Nations,Balance between Portfolio and Constituency,Focus on Resources,Committed to NDP Policies"
56,Jim Carr,"Jim Carr,Supportive of Canada's Energy Sector,Advocate of Clean Energy,Promote Responsible Growth of Canada's Financial System,Advocate of Interprovincial Trade and Labour Mobility,Advocate for Transparency and Movement Towards Audited Financial Systems,Advocate of Improved Quality of Life for Indigenous Peoples,Supports Sustainable Resource Management,Supports Improved Infrastructure,Advocate for Open Government,Supports Strong Environmental Policies."
57,Colin Carrie,"Colin Carrie, Pro-Business, Promotes National Security, Focused on Immigration Reform, Supports Lower Taxes, Committed to Improving Infrastructure, Encourages Job Creation, Supports Free Trade, Strengthens International Relations, Advocate for Rural Healthcare Issues, Advocate for Social Justice Causes."
58,Sean Casey,"Sean Casey, Pro-environment, Pro-LGBTQ2+ rights, Advocate of the fisheries industry, Supporter of Indigenous rights, Investing in infrastructure, Promotion of social responsibility, Advocate of gun control, Taxpayer friendly, Pro-immigration, Opportunities for young people."
59,Louise Chabot,"Louise Chabot, Pro-Choice, Pro-Environment, Workplace Safety Advocate, Immigration Reform Supporter, Gender Equality Advocate, LGBTQ+ Rights Supporter, Affordable Housing Champion, Support for Education and Indigenous Peoples, Accessible Health Care Proponent, Social Justice and Inclusion Advocate"
60,Bardish Chagger,"Bardish Chagger, Entrepreneurial, Diversity, Multiculturalism, Inclusivity, Gender Equality, Empowerment, Democratization, Renewable Energy, Climate Action, Collaborative."
